route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id
100160,61621,34745815,"Overlake ","LOCAL",0,5740958,11269002,0,101
100129,61621,34745816,"Bellevue Via I-405","LOCAL",1,5740971,20237002,0,101
100129,61621,34745817,"Bellevue Via I-405","LOCAL",1,5741058,20237002,0,101
100201,61621,34745820,"Shoreline P&R Bellevue","LOCAL",0,5740994,11342005,0,101
100201,61621,34745821,"Bellevue ","LOCAL",1,5740982,20342004,0,101
100201,61621,34745822,"Bellevue ","LOCAL",1,5740978,20342004,0,101
100129,61621,34745823,"Bellevue Via I-405","LOCAL",1,5740976,20237002,0,101
100160,61621,34745824,"Overlake ","LOCAL",0,5740970,11269002,0,101
100160,61621,34745825,"Overlake ","LOCAL",0,5740970,11269002,0,101
100160,61621,34745826,"Overlake ","LOCAL",0,5740972,11269002,0,101
100160,61621,34745889,"Overlake ","LOCAL",0,5741042,11269002,0,101
100160,61621,34745890,"Overlake ","LOCAL",0,5741062,11269002,0,101
100160,61621,34745891,"Overlake ","LOCAL",0,5740966,11269002,0,101
100124,61621,34746009,"Bellevue Via SR-520","LOCAL",1,5740960,30232005,0,101
100124,61621,34746010,"Bellevue Via SR-520","LOCAL",1,5740961,30232005,0,101
100124,61621,34746011,"Bellevue Via SR-520","LOCAL",1,5741086,30232005,0,101
100124,61621,34746012,"Bellevue Via SR-520","LOCAL",1,5741095,30232005,0,101
100124,61621,34746013,"Duvall Redmond","LOCAL",0,5741086,41232004,0,101
100124,61621,34746014,"Duvall Redmond","LOCAL",0,5741095,41232004,0,101
100124,61621,34746015,"Duvall Redmond","LOCAL",0,5740961,41232004,0,101
100124,61621,34746019,"Duvall Redmond","LOCAL",0,5740960,41232004,0,101
100124,61621,34746020,"Redmond ","LOCAL",0,5740956,41232003,0,101
100124,61621,34746021,"Redmond ","LOCAL",0,5740957,41232003,0,101
100160,61621,34746022,"Issaquah Transit Center ","LOCAL",1,5740958,20269003,0,101
100160,61621,34746023,"Issaquah Transit Center ","LOCAL",1,5740958,20269003,0,101
100160,61621,34746024,"Issaquah Transit Center ","LOCAL",1,5740980,20269003,0,101
100160,61621,34746025,"Issaquah Transit Center ","LOCAL",1,5740958,20269003,0,101
100160,61621,34746026,"Issaquah Transit Center ","LOCAL",1,5741062,20269003,0,101
100160,61621,34746027,"Issaquah Transit Center ","LOCAL",1,5741062,20269003,0,101
100160,61621,34746028,"Issaquah Transit Center ","LOCAL",1,5740966,20269003,0,101
100160,61621,34746029,"Issaquah Transit Center ","LOCAL",1,5741042,20269003,0,101
100160,61621,34746030,"Issaquah Transit Center ","LOCAL",1,5741042,20269003,0,101
100160,61621,34746031,"Overlake ","LOCAL",0,5741062,11269002,0,101
100160,61621,34746032,"Overlake ","LOCAL",0,5741042,11269002,0,101
100160,61621,34746033,"Overlake ","LOCAL",0,5741022,11269002,0,101
100160,61621,34746034,"Overlake ","LOCAL",0,5740958,11269002,0,101
100160,61621,34746035,"Issaquah Transit Center ","LOCAL",1,5740980,20269003,0,101
100160,61621,34746036,"Overlake ","LOCAL",0,5740980,11269002,0,101
100160,61621,34746037,"Overlake ","LOCAL",0,5740980,11269002,0,101
100160,61621,34746038,"Overlake ","LOCAL",0,5740970,11269002,0,101
100160,61621,34746039,"Issaquah Transit Center ","LOCAL",1,5740970,20269003,0,101
100113,61621,34746059,"Redmond Transit Center ","LOCAL",1,5740974,10221004,0,101
100113,61621,34746060,"Redmond Transit Center ","LOCAL",1,5740956,10221004,0,101
100113,61621,34746061,"Redmond Transit Center ","LOCAL",1,5740974,10221004,0,101
100113,61621,34746062,"Education Hill ","LOCAL",1,5740974,10221002,0,101
100113,61621,34746063,"Education Hill ","LOCAL",1,5740956,10221002,0,101
100113,61621,34746064,"Eastgate P&R ","LOCAL",0,5740974,21221003,0,101
100113,61621,34746065,"Education Hill ","LOCAL",1,5740956,10221002,0,101
100113,61621,34746066,"Eastgate P&R ","LOCAL",0,5741020,21221003,0,101
100113,61621,34746067,"Eastgate P&R ","LOCAL",0,5740956,21221003,0,101
100113,61621,34746068,"Education Hill ","LOCAL",1,5740973,10221002,0,101
100113,61621,34746069,"Education Hill ","LOCAL",1,5740974,10221002,0,101
100113,61621,34746070,"Education Hill ","LOCAL",0,5740974,21221006,0,101
100113,61621,34746071,"Education Hill ","LOCAL",0,5741005,21221006,0,101
100113,61621,34746072,"Education Hill ","LOCAL",0,5740956,21221006,0,101
100113,61621,34746073,"Education Hill ","LOCAL",0,5740974,21221006,0,101
100113,61621,34746074,"Education Hill ","LOCAL",0,5740956,21221006,0,101
100113,61621,34746075,"Education Hill ","LOCAL",0,5740974,21221006,0,101
100113,61621,34746076,"Education Hill ","LOCAL",1,5740956,10221002,0,101
100113,61621,34746077,"Education Hill ","LOCAL",1,5741019,10221002,0,101
100113,61621,34746078,"Eastgate P&R ","LOCAL",0,5741019,21221003,0,101
100113,61621,34746079,"Eastgate P&R ","LOCAL",0,5740973,21221003,0,101
100113,61621,34746080,"Education Hill ","LOCAL",0,5740983,21221006,0,101
100113,61621,34746081,"Redmond Transit Center ","LOCAL",1,5740974,10221005,0,101
100113,61621,34746082,"Redmond Transit Center ","LOCAL",1,5741005,10221004,0,101
100113,61621,34746083,"Eastgate P&R ","LOCAL",0,5740956,21221003,0,101
100113,61621,34746084,"Eastgate P&R ","LOCAL",0,5740973,21221003,0,101
100113,61621,34746085,"Education Hill ","LOCAL",1,5741020,10221002,0,101
100113,61621,34746086,"Redmond Transit Center ","LOCAL",1,5741005,10221004,0,101
100113,61621,34746087,"Redmond Transit Center ","LOCAL",1,5741005,10221004,0,101
100113,61621,34746088,"Education Hill ","LOCAL",0,5741005,21221006,0,101
100113,61621,34746089,"Eastgate P&R ","LOCAL",0,5741005,21221003,0,101
100113,61621,34746090,"Eastgate P&R ","LOCAL",0,5740974,21221003,0,101
100113,61621,34746091,"Education Hill ","LOCAL",1,5741005,10221002,0,101
100113,61621,34746092,"Education Hill ","LOCAL",1,5741005,10221002,0,101
100113,61621,34746093,"Education Hill ","LOCAL",1,5740974,10221002,0,101
100113,61621,34746094,"Education Hill ","LOCAL",0,5741005,21221006,0,101
100124,61621,34746095,"Duvall Redmond","LOCAL",0,5740961,41232004,0,101
100162,61621,34746096,"University District Bellevue","LOCAL",1,5741062,30271007,0,101
100162,61621,34746097,"University District Bellevue","LOCAL",1,5741017,30271007,0,101
100162,61621,34746098,"Issaquah Bellevue","LOCAL",0,5740954,41271009,0,101
100162,61621,34746099,"Issaquah Bellevue","LOCAL",0,5741062,41271010,0,101
100162,61621,34746100,"University District ","LOCAL",1,5740955,30271008,0,101
100162,61621,34746101,"University District Bellevue","LOCAL",1,5740955,30271003,0,101
100162,61621,34746102,"University District Bellevue","LOCAL",1,5740978,30271003,0,101
100162,61621,34746103,"University District Bellevue","LOCAL",1,5741060,30271003,0,101
100162,61621,34746104,"University District Bellevue","LOCAL",1,5740953,30271003,0,101
100162,61621,34746105,"University District Bellevue","LOCAL",1,5740967,30271003,0,101
100162,61621,34746106,"University District Bellevue","LOCAL",1,5741014,30271003,0,101
100162,61621,34746107,"University District Bellevue","LOCAL",1,5741014,30271003,0,101
