GEO_ID,total_workers,workers_using_transit,total_households,mean_income,percent_w_assistance,percent_white,percent_black_or_african_american
53033032703,1405,3.1,893,109410,7.3,93.8,0.0
53033004800,3453,23.3,2202,138978,2.1,84.7,0.7
53033022202,4236,8.8,3160,109787,5.2,75.4,0.7
53033022203,2582,6.3,1896,172601,1.0,83.8,0.9
53033005801,3690,18.1,2758,92842,3.6,84.2,6.5
53033000402,2887,14.3,2437,94192,10.5,81.2,3.4
53033005400,4352,25.3,3028,120194,3.3,81.0,1.3
53033032318,3200,8.3,2011,180631,1.5,58.1,1.2
53033022606,3049,5.1,2268,129046,8.5,71.9,1.3
53033024400,1332,13.4,1337,141859,6.1,76.9,2.4
53033026001,2938,9.9,2089,106835,10.9,35.0,21.5
53033000200,4307,16.8,3654,78590,12.3,68.0,4.3
53033007000,5203,30.1,5035,115820,5.8,82.5,1.1
53033009500,3778,26.1,2708,147337,17.8,65.3,17.9
53033028403,2542,18.2,2290,53991,22.9,36.3,25.6
53033030501,610,10.0,971,39407,38.2,66.9,6.1
53033031302,2004,0.8,1659,79239,17.7,91.1,0.0
53033001600,2472,17.1,1858,154957,3.4,84.9,0.9
53033023900,3335,11.8,2789,194762,6.4,74.1,1.6
53033027900,4187,11.1,3183,81689,18.9,67.8,8.7
53033003200,5336,20.7,4251,112132,7.0,88.8,0.6
53033005600,3217,9.6,2678,199484,4.3,86.9,0.2
53033009300,1676,26.7,1141,112851,9.2,54.1,12.1
53033021300,2101,16.4,1744,101936,6.7,72.9,5.1
53033029801,4729,8.8,3075,87427,15.3,55.0,8.1
53033009702,2999,13.2,2358,131614,1.6,86.6,0.3
53033021600,2740,8.9,1847,123843,5.6,77.2,2.2
53033030901,1673,6.0,1111,70462,28.1,72.3,4.6
53033004000,1701,19.6,1393,141199,14.9,70.7,12.0
53033007800,3127,15.3,2291,250944,7.0,75.0,4.8
53033000300,1675,17.0,1187,94818,5.6,76.2,5.2
53033003300,4672,18.6,3301,120540,6.0,84.6,2.0
53033020402,2851,12.3,2161,94003,6.4,77.1,0.9
53033022006,2177,8.6,1808,108242,7.4,81.9,0.7
53033023803,3026,15.9,2953,123586,1.8,46.9,1.8
53033025006,3270,5.7,2295,189853,5.1,65.7,4.9
53033025005,2601,4.8,1948,163686,2.8,58.4,1.1
53033025602,3160,5.7,2079,118920,5.1,61.8,2.3
53033029206,1903,15.6,1991,38701,35.7,52.2,12.9
53033029102,2111,5.1,1388,95497,6.7,55.3,13.6
53033029101,1567,9.6,1196,93998,13.5,47.7,20.0
53033030006,1856,15.6,1670,53760,36.7,46.8,20.7
53033030314,1910,2.8,1998,54602,21.9,50.9,11.6
53033030313,1708,7.5,1556,50139,28.3,58.5,11.1
53033031605,1897,3.5,1389,115707,6.2,86.4,1.9
53033031604,2711,5.1,1818,104839,5.7,77.1,3.7
53033032011,2073,2.8,1451,123002,1.2,87.5,0.8
53033031706,3734,2.3,2660,95352,11.6,65.4,7.1
53033032215,2265,4.1,1562,244156,0.0,58.6,0.7
53033032329,4100,5.2,3068,172827,3.4,48.9,1.0
53033032328,1566,1.8,1158,181115,1.6,84.7,1.2
53033001701,2600,26.3,2000,97746,10.7,72.3,6.6
53033007401,4345,27.8,3654,87775,3.9,76.4,1.8
53033990100,0,-,0,-,-,-,-
53033030403,2289,10.0,1679,95428,11.5,70.2,6.5
53033031100,3366,8.1,2666,68141,20.3,63.1,5.4
53033031202,2725,0.8,2243,107684,9.6,76.2,1.5
53033031908,2362,7.2,1924,83791,13.7,60.7,18.2
53033000500,1510,9.8,1251,165267,0.0,83.6,1.3
53033000900,1065,12.6,868,158659,2.6,81.2,1.1
53033001100,1588,15.4,1092,106918,4.8,75.5,0.3
53033002800,3124,29.7,2179,127868,1.6,87.6,0.1
53033002900,2774,17.4,1953,125010,3.6,88.6,0.0
53033003100,3617,18.3,2779,131577,3.0,92.5,0.4
53033003900,1567,14.0,1191,138229,4.3,81.1,0.7
53033004200,4609,18.7,3331,162543,4.1,83.1,1.8
